system_qubits,bath_qubits,J,h,num_sweeps,p,training_method,single_qubit_gate_noise,two_qubit_gate_noise,initial_state,ground_state_energy,bond_dim,energy,energy_diff,energy_std,truncation_error,combined_std,energy_density_atol,energy_atol,total_time_minutes
4,2,0.4,0.6,6,3,energy,0.0004,0.004,zeros,-2.601556622850568,32,-2.309028571428571,0.2925280514219968,0.014182581872511634,inf,inf,0.01,0.04,1.015336525440216
4,2,0.4,0.6,6,3,energy,0.0004,0.004,zeros,-2.601556622850568,64,-2.331885714285714,0.2696709085648541,0.014043854551362494,0.014182581872511634,0.019959345661376793,0.01,0.04,1.015336525440216
4,2,0.4,0.6,6,3,energy,0.0009000000000000001,0.009000000000000001,zeros,-2.6015566228505604,32,-2.1447314285714287,0.4568251942791317,0.01529375341370403,inf,inf,0.01,0.04,1.0945112148920695
4,2,0.4,0.6,6,3,energy,0.0009000000000000001,0.009000000000000001,zeros,-2.6015566228505604,64,-2.0952685714285715,0.506288051421989,0.015502477037066729,0.044411130912990045,0.04703908314641689,0.01,0.04,1.0945112148920695
4,2,0.4,0.6,3,3,energy,0.001,0.01,zeros,-2.6015566228505627,32,-1.956022857142857,0.6455337657077056,0.01647291337615508,inf,inf,0.01,0.04,0.5179729064305624
4,2,0.4,0.6,3,3,energy,0.001,0.01,zeros,-2.6015566228505627,64,-1.9529142857142858,0.6486423371362768,0.016454659179477697,0.01647291337615508,0.023283313419938296,0.01,0.04,0.5179729064305624
4,2,0.4,0.6,3,3,energy,0.0005,0.005,zeros,-2.601556622850563,32,-2.07488,0.5266766228505633,0.015856410483723552,inf,inf,0.01,0.04,0.5057832598686218
4,2,0.4,0.6,3,3,energy,0.0005,0.005,zeros,-2.601556622850563,64,-2.044708571428571,0.556848051421992,0.015989764428424248,0.020080258517658253,0.0256688400324691,0.01,0.04,0.5057832598686218
4,2,0.4,0.6,8,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-2.601556622850561,32,-2.23488,0.3666766228505609,0.014659573222986971,inf,inf,0.01,0.04,1.2576186696688334
4,2,0.4,0.6,8,3,energy,0.0007000000000000001,0.007000000000000001,zeros,-2.601556622850561,64,-2.2315885714285715,0.3699680514219894,0.014738793375568325,0.014738793375568325,0.020843801484743456,0.01,0.04,1.2576186696688334
